facet_id,raw_value,normalized_value,leading_id_prefix,normalization_transforms,is_malformed,malformed_reason,facet_type,conversation_observable,sensitivity,requires_explicit_disclosure,abstention_reason,is_duplicate_normalized,duplicate_of_facet_id,scoring_scale,scoring_anchors_json
F0010,Self-improvement,Self-improvement,,,False,,personality_trait_or_disposition,True,low,False,,False,,1-5 ordinal,"{""1"": ""Conversation shows clear, explicit evidence of low/absent 'Self-improvement' (or strong evidence of the opposite)."", ""2"": ""Conversation shows weak or partial evidence leaning toward low 'Self-improvement'."", ""3"": ""Evidence is mixed, neutral, or too thin to lean either direction on 'Self-improvement'."", ""4"": ""Conversation shows weak-to-moderate evidence leaning toward high 'Self-improvement'."", ""5"": ""Conversation shows clear, explicit, repeated evidence of high 'Self-improvement'.""}"
F0011,Statistical Reasoning,Statistical Reasoning,,,False,,cognitive_psychometric,False,medium,False,requires_formal_psychometric_testing,False,,1-5 ordinal,"{""1"": ""Conversation shows clear, explicit evidence of low/absent 'Statistical Reasoning' (or strong evidence of the opposite)."", ""2"": ""Conversation shows weak or partial evidence leaning toward low 'Statistical Reasoning'."", ""3"": ""Evidence is mixed, neutral, or too thin to lean either direction on 'Statistical Reasoning'."", ""4"": ""Conversation shows weak-to-moderate evidence leaning toward high 'Statistical Reasoning'."", ""5"": ""Conversation shows clear, explicit, repeated evidence of high 'Statistical Reasoning'.""}"
F0012,Assertiveness and control in relationships,Assertiveness and control in relationships,,,False,,personality_trait_or_disposition,True,low,False,,False,,1-5 ordinal,"{""1"": ""Conversation shows clear, explicit evidence of low/absent 'Assertiveness and control in relationships' (or strong evidence of the opposite)."", ""2"": ""Conversation shows weak or partial evidence leaning toward low 'Assertiveness and control in relationships'."", ""3"": ""Evidence is mixed, neutral, or too thin to lean either direction on 'Assertiveness and control in relationships'."", ""4"": ""Conversation shows weak-to-moderate evidence leaning toward high 'Assertiveness and control in relationships'."", ""5"": ""Conversation shows clear, explicit, repeated evidence of high 'Assertiveness and control in relationships'.""}"
F0013,Cunningness,Cunningness,,,False,,personality_trait_or_disposition,True,low,False,,False,,1-5 ordinal,"{""1"": ""Conversation shows clear, explicit evidence of low/absent 'Cunningness' (or strong evidence of the opposite)."", ""2"": ""Conversation shows weak or partial evidence leaning toward low 'Cunningness'."", ""3"": ""Evidence is mixed, neutral, or too thin to lean either direction on 'Cunningness'."", ""4"": ""Conversation shows weak-to-moderate evidence leaning toward high 'Cunningness'."", ""5"": ""Conversation shows clear, explicit, repeated evidence of high 'Cunningness'.""}"
F0014,Adventure-Seeking Behavior,Adventure-Seeking Behavior,,,False,,personality_trait_or_disposition,True,low,False,,False,,1-5 ordinal,"{""1"": ""Conversation shows clear, explicit evidence of low/absent 'Adventure-Seeking Behavior' (or strong evidence of the opposite)."", ""2"": ""Conversation shows weak or partial evidence leaning toward low 'Adventure-Seeking Behavior'."", ""3"": ""Evidence is mixed, neutral, or too thin to lean either direction on 'Adventure-Seeking Behavior'."", ""4"": ""Conversation shows weak-to-moderate evidence leaning toward high 'Adventure-Seeking Behavior'."", ""5"": ""Conversation shows clear, explicit, repeated evidence of high 'Adventure-Seeking Behavior'.""}"
F0015,Compassion Fatigue,Compassion Fatigue,,,False,,personality_trait_or_disposition,True,low,False,,False,,1-5 ordinal,"{""1"": ""Conversation shows clear, explicit evidence of low/absent 'Compassion Fatigue' (or strong evidence of the opposite)."", ""2"": ""Conversation shows weak or partial evidence leaning toward low 'Compassion Fatigue'."", ""3"": ""Evidence is mixed, neutral, or too thin to lean either direction on 'Compassion Fatigue'."", ""4"": ""Conversation shows weak-to-moderate evidence leaning toward high 'Compassion Fatigue'."", ""5"": ""Conversation shows clear, explicit, repeated evidence of high 'Compassion Fatigue'.""}"
F0016,Moroseness,Moroseness,,,False,,personality_trait_or_disposition,True,low,False,,False,,1-5 ordinal,"{""1"": ""Conversation shows clear, explicit evidence of low/absent 'Moroseness' (or strong evidence of the opposite)."", ""2"": ""Conversation shows weak or partial evidence leaning toward low 'Moroseness'."", ""3"": ""Evidence is mixed, neutral, or too thin to lean either direction on 'Moroseness'."", ""4"": ""Conversation shows weak-to-moderate evidence leaning toward high 'Moroseness'."", ""5"": ""Conversation shows clear, explicit, repeated evidence of high 'Moroseness'.""}"
F0017,Specialist,Specialist,,,False,,personality_trait_or_disposition,True,low,False,,False,,1-5 ordinal,"{""1"": ""Conversation shows clear, explicit evidence of low/absent 'Specialist' (or strong evidence of the opposite)."", ""2"": ""Conversation shows weak or partial evidence leaning toward low 'Specialist'."", ""3"": ""Evidence is mixed, neutral, or too thin to lean either direction on 'Specialist'."", ""4"": ""Conversation shows weak-to-moderate evidence leaning toward high 'Specialist'."", ""5"": ""Conversation shows clear, explicit, repeated evidence of high 'Specialist'.""}"
F0018,Aloofness,Aloofness,,,False,,personality_trait_or_disposition,True,low,False,,False,,1-5 ordinal,"{""1"": ""Conversation shows clear, explicit evidence of low/absent 'Aloofness' (or strong evidence of the opposite)."", ""2"": ""Conversation shows weak or partial evidence leaning toward low 'Aloofness'."", ""3"": ""Evidence is mixed, neutral, or too thin to lean either direction on 'Aloofness'."", ""4"": ""Conversation shows weak-to-moderate evidence leaning toward high 'Aloofness'."", ""5"": ""Conversation shows clear, explicit, repeated evidence of high 'Aloofness'.""}"
F0019,Genuine,Genuine,,,False,,personality_trait_or_disposition,True,low,False,,False,,1-5 ordinal,"{""1"": ""Conversation shows clear, explicit evidence of low/absent 'Genuine' (or strong evidence of the opposite)."", ""2"": ""Conversation shows weak or partial evidence leaning toward low 'Genuine'."", ""3"": ""Evidence is mixed, neutral, or too thin to lean either direction on 'Genuine'."", ""4"": ""Conversation shows weak-to-moderate evidence leaning toward high 'Genuine'."", ""5"": ""Conversation shows clear, explicit, repeated evidence of high 'Genuine'.""}"
F0020,Determinedness,Determinedness,,,False,,personality_trait_or_disposition,True,low,False,,False,,1-5 ordinal,"{""1"": ""Conversation shows clear, explicit evidence of low/absent 'Determinedness' (or strong evidence of the opposite)."", ""2"": ""Conversation shows weak or partial evidence leaning toward low 'Determinedness'."", ""3"": ""Evidence is mixed, neutral, or too thin to lean either direction on 'Determinedness'."", ""4"": ""Conversation shows weak-to-moderate evidence leaning toward high 'Determinedness'."", ""5"": ""Conversation shows clear, explicit, repeated evidence of high 'Determinedness'.""}"
F0021,HonestyHumility:,Honesty Humility,,stripped_trailing_colon;split_camel_case,True,header_like_trailing_colon,header_artifact,False,n/a,False,not_a_scorable_facet_category_header,False,,,
F0022,Relationship Building Themes:,Relationship Building Themes,,stripped_trailing_colon,True,header_like_trailing_colon,header_artifact,False,n/a,False,not_a_scorable_facet_category_header,False,,,
F0023,Pure Challenge,Pure Challenge,,,False,,personality_trait_or_disposition,True,low,False,,False,,1-5 ordinal,"{""1"": ""Conversation shows clear, explicit evidence of low/absent 'Pure Challenge' (or strong evidence of the opposite)."", ""2"": ""Conversation shows weak or partial evidence leaning toward low 'Pure Challenge'."", ""3"": ""Evidence is mixed, neutral, or too thin to lean either direction on 'Pure Challenge'."", ""4"": ""Conversation shows weak-to-moderate evidence leaning toward high 'Pure Challenge'."", ""5"": ""Conversation shows clear, explicit, repeated evidence of high 'Pure Challenge'.""}"
F0024,Numerical Reasoning Subcomponents:,Numerical Reasoning Subcomponents,,stripped_trailing_colon,True,header_like_trailing_colon,header_artifact,False,n/a,False,not_a_scorable_facet_category_header,False,,,
F0025,Openness,Openness,,,False,,personality_trait_or_disposition,True,low,False,,False,,1-5 ordinal,"{""1"": ""Conversation shows clear, explicit evidence of low/absent 'Openness' (or strong evidence of the opposite)."", ""2"": ""Conversation shows weak or partial evidence leaning toward low 'Openness'."", ""3"": ""Evidence is mixed, neutral, or too thin to lean either direction on 'Openness'."", ""4"": ""Conversation shows weak-to-moderate evidence leaning toward high 'Openness'."", ""5"": ""Conversation shows clear, explicit, repeated evidence of high 'Openness'.""}"
F0026,SelfEsteem,Self Esteem,,split_camel_case,False,,personality_trait_or_disposition,True,low,False,,False,,1-5 ordinal,"{""1"": ""Conversation shows clear, explicit evidence of low/absent 'Self Esteem' (or strong evidence of the opposite)."", ""2"": ""Conversation shows weak or partial evidence leaning toward low 'Self Esteem'."", ""3"": ""Evidence is mixed, neutral, or too thin to lean either direction on 'Self Esteem'."", ""4"": ""Conversation shows weak-to-moderate evidence leaning toward high 'Self Esteem'."", ""5"": ""Conversation shows clear, explicit, repeated evidence of high 'Self Esteem'.""}"
F0027,Comparing alphanumeric data,Comparing alphanumeric data,,,False,,cognitive_psychometric,False,medium,False,requires_formal_psychometric_testing,False,,1-5 ordinal,"{""1"": ""Conversation shows clear, explicit evidence of low/absent 'Comparing alphanumeric data' (or strong evidence of the opposite)."", ""2"": ""Conversation shows weak or partial evidence leaning toward low 'Comparing alphanumeric data'."", ""3"": ""Evidence is mixed, neutral, or too thin to lean either direction on 'Comparing alphanumeric data'."", ""4"": ""Conversation shows weak-to-moderate evidence leaning toward high 'Comparing alphanumeric data'."", ""5"": ""Conversation shows clear, explicit, repeated evidence of high 'Comparing alphanumeric data'.""}"
F0028,Big-heartedness,Big-heartedness,,,False,,personality_trait_or_disposition,True,low,False,,False,,1-5 ordinal,"{""1"": ""Conversation shows clear, explicit evidence of low/absent 'Big-heartedness' (or strong evidence of the opposite)."", ""2"": ""Conversation shows weak or partial evidence leaning toward low 'Big-heartedness'."", ""3"": ""Evidence is mixed, neutral, or too thin to lean either direction on 'Big-heartedness'."", ""4"": ""Conversation shows weak-to-moderate evidence leaning toward high 'Big-heartedness'."", ""5"": ""Conversation shows clear, explicit, repeated evidence of high 'Big-heartedness'.""}"
F0029,Compulsive activities,Compulsive activities,,,False,,personality_trait_or_disposition,True,low,False,,False,,1-5 ordinal,"{""1"": ""Conversation shows clear, explicit evidence of low/absent 'Compulsive activities' (or strong evidence of the opposite)."", ""2"": ""Conversation shows weak or partial evidence leaning toward low 'Compulsive activities'."", ""3"": ""Evidence is mixed, neutral, or too thin to lean either direction on 'Compulsive activities'."", ""4"": ""Conversation shows weak-to-moderate evidence leaning toward high 'Compulsive activities'."", ""5"": ""Conversation shows clear, explicit, repeated evidence of high 'Compulsive activities'.""}"
F0030,Disrespect,Disrespect,,,False,,personality_trait_or_disposition,True,low,False,,False,,1-5 ordinal,"{""1"": ""Conversation shows clear, explicit evidence of low/absent 'Disrespect' (or strong evidence of the opposite)."", ""2"": ""Conversation shows weak or partial evidence leaning toward low 'Disrespect'."", ""3"": ""Evidence is mixed, neutral, or too thin to lean either direction on 'Disrespect'."", ""4"": ""Conversation shows weak-to-moderate evidence leaning toward high 'Disrespect'."", ""5"": ""Conversation shows clear, explicit, repeated evidence of high 'Disrespect'.""}"
F0031,FSH level,FSH level,,,False,,medical_biological,False,high,False,requires_medical_lab_or_genetic_evidence,False,,1-5 ordinal,"{""1"": ""Conversation shows clear, explicit evidence of low/absent 'FSH level' (or strong evidence of the opposite)."", ""2"": ""Conversation shows weak or partial evidence leaning toward low 'FSH level'."", ""3"": ""Evidence is mixed, neutral, or too thin to lean either direction on 'FSH level'."", ""4"": ""Conversation shows weak-to-moderate evidence leaning toward high 'FSH level'."", ""5"": ""Conversation shows clear, explicit, repeated evidence of high 'FSH level'.""}"
F0032,Self Perspective,Self Perspective,,,False,,personality_trait_or_disposition,True,low,False,,False,,1-5 ordinal,"{""1"": ""Conversation shows clear, explicit evidence of low/absent 'Self Perspective' (or strong evidence of the opposite)."", ""2"": ""Conversation shows weak or partial evidence leaning toward low 'Self Perspective'."", ""3"": ""Evidence is mixed, neutral, or too thin to lean either direction on 'Self Perspective'."", ""4"": ""Conversation shows weak-to-moderate evidence leaning toward high 'Self Perspective'."", ""5"": ""Conversation shows clear, explicit, repeated evidence of high 'Self Perspective'.""}"
F0033,Desperation,Desperation,,,False,,personality_trait_or_disposition,True,low,False,,False,,1-5 ordinal,"{""1"": ""Conversation shows clear, explicit evidence of low/absent 'Desperation' (or strong evidence of the opposite)."", ""2"": ""Conversation shows weak or partial evidence leaning toward low 'Desperation'."", ""3"": ""Evidence is mixed, neutral, or too thin to lean either direction on 'Desperation'."", ""4"": ""Conversation shows weak-to-moderate evidence leaning toward high 'Desperation'."", ""5"": ""Conversation shows clear, explicit, repeated evidence of high 'Desperation'.""}"
F0034,Affiliation Motivation:,Affiliation Motivation,,stripped_trailing_colon,True,header_like_trailing_colon,header_artifact,False,n/a,False,not_a_scorable_facet_category_header,False,,,
F0035,Anatomy knowledge,Anatomy knowledge,,,False,,personality_trait_or_disposition,True,low,False,,False,,1-5 ordinal,"{""1"": ""Conversation shows clear, explicit evidence of low/absent 'Anatomy knowledge' (or strong evidence of the opposite)."", ""2"": ""Conversation shows weak or partial evidence leaning toward low 'Anatomy knowledge'."", ""3"": ""Evidence is mixed, neutral, or too thin to lean either direction on 'Anatomy knowledge'."", ""4"": ""Conversation shows weak-to-moderate evidence leaning toward high 'Anatomy knowledge'."", ""5"": ""Conversation shows clear, explicit, repeated evidence of high 'Anatomy knowledge'.""}"
F0036,Passive-Aggressive,Passive-Aggressive,,,False,,personality_trait_or_disposition,True,low,False,,False,,1-5 ordinal,"{""1"": ""Conversation shows clear, explicit evidence of low/absent 'Passive-Aggressive' (or strong evidence of the opposite)."", ""2"": ""Conversation shows weak or partial evidence leaning toward low 'Passive-Aggressive'."", ""3"": ""Evidence is mixed, neutral, or too thin to lean either direction on 'Passive-Aggressive'."", ""4"": ""Conversation shows weak-to-moderate evidence leaning toward high 'Passive-Aggressive'."", ""5"": ""Conversation shows clear, explicit, repeated evidence of high 'Passive-Aggressive'.""}"
F0037,Presence of Spiritual Pain,Presence of Spiritual Pain,,,False,,spiritual_religious_practice,True,medium,True,,False,,1-5 ordinal,"{""1"": ""Conversation shows clear, explicit evidence of low/absent 'Presence of Spiritual Pain' (or strong evidence of the opposite)."", ""2"": ""Conversation shows weak or partial evidence leaning toward low 'Presence of Spiritual Pain'."", ""3"": ""Evidence is mixed, neutral, or too thin to lean either direction on 'Presence of Spiritual Pain'."", ""4"": ""Conversation shows weak-to-moderate evidence leaning toward high 'Presence of Spiritual Pain'."", ""5"": ""Conversation shows clear, explicit, repeated evidence of high 'Presence of Spiritual Pain'.""}"
F0038,Role of Spirituality in Community Involvement,Role of Spirituality in Community Involvement,,,False,,spiritual_religious_practice,True,medium,True,,False,,1-5 ordinal,"{""1"": ""Conversation shows clear, explicit evidence of low/absent 'Role of Spirituality in Community Involvement' (or strong evidence of the opposite)."", ""2"": ""Conversation shows weak or partial evidence leaning toward low 'Role of Spirituality in Community Involvement'."", ""3"": ""Evidence is mixed, neutral, or too thin to lean either direction on 'Role of Spirituality in Community Involvement'."", ""4"": ""Conversation shows weak-to-moderate evidence leaning toward high 'Role of Spirituality in Community Involvement'."", ""5"": ""Conversation shows clear, explicit, repeated evidence of high 'Role of Spirituality in Community Involvement'.""}"
F0039,Structure,Structure,,,False,,personality_trait_or_disposition,True,low,False,,False,,1-5 ordinal,"{""1"": ""Conversation shows clear, explicit evidence of low/absent 'Structure' (or strong evidence of the opposite)."", ""2"": ""Conversation shows weak or partial evidence leaning toward low 'Structure'."", ""3"": ""Evidence is mixed, neutral, or too thin to lean either direction on 'Structure'."", ""4"": ""Conversation shows weak-to-moderate evidence leaning toward high 'Structure'."", ""5"": ""Conversation shows clear, explicit, repeated evidence of high 'Structure'.""}"
F0040,Eco-tourism trips,Eco-tourism trips,,,False,,personality_trait_or_disposition,True,low,False,,False,,1-5 ordinal,"{""1"": ""Conversation shows clear, explicit evidence of low/absent 'Eco-tourism trips' (or strong evidence of the opposite)."", ""2"": ""Conversation shows weak or partial evidence leaning toward low 'Eco-tourism trips'."", ""3"": ""Evidence is mixed, neutral, or too thin to lean either direction on 'Eco-tourism trips'."", ""4"": ""Conversation shows weak-to-moderate evidence leaning toward high 'Eco-tourism trips'."", ""5"": ""Conversation shows clear, explicit, repeated evidence of high 'Eco-tourism trips'.""}"
F0041,Chivalrousness,Chivalrousness,,,False,,personality_trait_or_disposition,True,low,False,,False,,1-5 ordinal,"{""1"": ""Conversation shows clear, explicit evidence of low/absent 'Chivalrousness' (or strong evidence of the opposite)."", ""2"": ""Conversation shows weak or partial evidence leaning toward low 'Chivalrousness'."", ""3"": ""Evidence is mixed, neutral, or too thin to lean either direction on 'Chivalrousness'."", ""4"": ""Conversation shows weak-to-moderate evidence leaning toward high 'Chivalrousness'."", ""5"": ""Conversation shows clear, explicit, repeated evidence of high 'Chivalrousness'.""}"
F0042,Pilgrimage participation count,Pilgrimage participation count,,,False,,spiritual_religious_practice,True,medium,True,,False,,1-5 ordinal,"{""1"": ""Conversation shows clear, explicit evidence of low/absent 'Pilgrimage participation count' (or strong evidence of the opposite)."", ""2"": ""Conversation shows weak or partial evidence leaning toward low 'Pilgrimage participation count'."", ""3"": ""Evidence is mixed, neutral, or too thin to lean either direction on 'Pilgrimage participation count'."", ""4"": ""Conversation shows weak-to-moderate evidence leaning toward high 'Pilgrimage participation count'."", ""5"": ""Conversation shows clear, explicit, repeated evidence of high 'Pilgrimage participation count'.""}"
F0043,Mindfulness facet: Observing,Mindfulness facet: Observing,,,False,,personality_trait_or_disposition,True,low,False,,False,,1-5 ordinal,"{""1"": ""Conversation shows clear, explicit evidence of low/absent 'Mindfulness facet: Observing' (or strong evidence of the opposite)."", ""2"": ""Conversation shows weak or partial evidence leaning toward low 'Mindfulness facet: Observing'."", ""3"": ""Evidence is mixed, neutral, or too thin to lean either direction on 'Mindfulness facet: Observing'."", ""4"": ""Conversation shows weak-to-moderate evidence leaning toward high 'Mindfulness facet: Observing'."", ""5"": ""Conversation shows clear, explicit, repeated evidence of high 'Mindfulness facet: Observing'.""}"
F0044,Submissiveness,Submissiveness,,,False,,personality_trait_or_disposition,True,low,False,,False,,1-5 ordinal,"{""1"": ""Conversation shows clear, explicit evidence of low/absent 'Submissiveness' (or strong evidence of the opposite)."", ""2"": ""Conversation shows weak or partial evidence leaning toward low 'Submissiveness'."", ""3"": ""Evidence is mixed, neutral, or too thin to lean either direction on 'Submissiveness'."", ""4"": ""Conversation shows weak-to-moderate evidence leaning toward high 'Submissiveness'."", ""5"": ""Conversation shows clear, explicit, repeated evidence of high 'Submissiveness'.""}"
F0045,Training-cycle length,Training-cycle length,,,False,,personality_trait_or_disposition,True,low,False,,False,,1-5 ordinal,"{""1"": ""Conversation shows clear, explicit evidence of low/absent 'Training-cycle length' (or strong evidence of the opposite)."", ""2"": ""Conversation shows weak or partial evidence leaning toward low 'Training-cycle length'."", ""3"": ""Evidence is mixed, neutral, or too thin to lean either direction on 'Training-cycle length'."", ""4"": ""Conversation shows weak-to-moderate evidence leaning toward high 'Training-cycle length'."", ""5"": ""Conversation shows clear, explicit, repeated evidence of high 'Training-cycle length'.""}"
F0046,Sensitiveness,Sensitiveness,,,False,,personality_trait_or_disposition,True,low,False,,False,,1-5 ordinal,"{""1"": ""Conversation shows clear, explicit evidence of low/absent 'Sensitiveness' (or strong evidence of the opposite)."", ""2"": ""Conversation shows weak or partial evidence leaning toward low 'Sensitiveness'."", ""3"": ""Evidence is mixed, neutral, or too thin to lean either direction on 'Sensitiveness'."", ""4"": ""Conversation shows weak-to-moderate evidence leaning toward high 'Sensitiveness'."", ""5"": ""Conversation shows clear, explicit, repeated evidence of high 'Sensitiveness'.""}"
F0047,Negative Affect Frequency,Negative Affect Frequency,,,False,,behavioral_frequency_count,True,low,True,,False,,1-5 ordinal,"{""1"": ""Conversation shows clear, explicit evidence of low/absent 'Negative Affect Frequency' (or strong evidence of the opposite)."", ""2"": ""Conversation shows weak or partial evidence leaning toward low 'Negative Affect Frequency'."", ""3"": ""Evidence is mixed, neutral, or too thin to lean either direction on 'Negative Affect Frequency'."", ""4"": ""Conversation shows weak-to-moderate evidence leaning toward high 'Negative Affect Frequency'."", ""5"": ""Conversation shows clear, explicit, repeated evidence of high 'Negative Affect Frequency'.""}"
F0048,Innovation and Creativity Components:,Innovation and Creativity Components,,stripped_trailing_colon,True,header_like_trailing_colon,header_artifact,False,n/a,False,not_a_scorable_facet_category_header,False,,,
F0049,Achievement Motivation:,Achievement Motivation,,stripped_trailing_colon,True,header_like_trailing_colon,header_artifact,False,n/a,False,not_a_scorable_facet_category_header,False,,,
F0050,Feedback-giving frequency,Feedback-giving frequency,,,False,,behavioral_frequency_count,True,low,True,,False,,1-5 ordinal,"{""1"": ""Conversation shows clear, explicit evidence of low/absent 'Feedback-giving frequency' (or strong evidence of the opposite)."", ""2"": ""Conversation shows weak or partial evidence leaning toward low 'Feedback-giving frequency'."", ""3"": ""Evidence is mixed, neutral, or too thin to lean either direction on 'Feedback-giving frequency'."", ""4"": ""Conversation shows weak-to-moderate evidence leaning toward high 'Feedback-giving frequency'."", ""5"": ""Conversation shows clear, explicit, repeated evidence of high 'Feedback-giving frequency'.""}"
F0051,Dance-cardio sessions,Dance-cardio sessions,,,False,,behavioral_frequency_count,True,low,True,,False,,1-5 ordinal,"{""1"": ""Conversation shows clear, explicit evidence of low/absent 'Dance-cardio sessions' (or strong evidence of the opposite)."", ""2"": ""Conversation shows weak or partial evidence leaning toward low 'Dance-cardio sessions'."", ""3"": ""Evidence is mixed, neutral, or too thin to lean either direction on 'Dance-cardio sessions'."", ""4"": ""Conversation shows weak-to-moderate evidence leaning toward high 'Dance-cardio sessions'."", ""5"": ""Conversation shows clear, explicit, repeated evidence of high 'Dance-cardio sessions'.""}"
F0052,Enthusiasm,Enthusiasm,,,False,,personality_trait_or_disposition,True,low,False,,False,,1-5 ordinal,"{""1"": ""Conversation shows clear, explicit evidence of low/absent 'Enthusiasm' (or strong evidence of the opposite)."", ""2"": ""Conversation shows weak or partial evidence leaning toward low 'Enthusiasm'."", ""3"": ""Evidence is mixed, neutral, or too thin to lean either direction on 'Enthusiasm'."", ""4"": ""Conversation shows weak-to-moderate evidence leaning toward high 'Enthusiasm'."", ""5"": ""Conversation shows clear, explicit, repeated evidence of high 'Enthusiasm'.""}"
F0053,Psychological construct: Social Desirability tendency,Psychological construct: Social Desirability tendency,,,False,,personality_trait_or_disposition,True,low,False,,False,,1-5 ordinal,"{""1"": ""Conversation shows clear, explicit evidence of low/absent 'Psychological construct: Social Desirability tendency' (or strong evidence of the opposite)."", ""2"": ""Conversation shows weak or partial evidence leaning toward low 'Psychological construct: Social Desirability tendency'."", ""3"": ""Evidence is mixed, neutral, or too thin to lean either direction on 'Psychological construct: Social Desirability tendency'."", ""4"": ""Conversation shows weak-to-moderate evidence leaning toward high 'Psychological construct: Social Desirability tendency'."", ""5"": ""Conversation shows clear, explicit, repeated evidence of high 'Psychological construct: Social Desirability tendency'.""}"
